Sipm DAC Count, measurement
4000, 0.0
3992, 0.0
3984, 0.0
3976, 0.0
3968, 0.0
3960, 0.0
3952, 0.0
3944, 0.0
3936, 0.0
3928, 0.0
3920, 0.0
3912, 0.0
3904, 0.0
3896, 0.0
3888, 0.0
3880, 0.0
3872, 0.0
3864, 0.0
3856, 0.0
3848, 0.0
3840, 0.0
3832, 0.0
3824, 0.0
3816, 0.0
3808, 0.0
3800, 0.0
3792, 0.0
3784, 0.0
3776, 0.0
3768, 0.0
3760, 0.0
3752, 0.0
3744, 0.0
3736, 0.0
3728, 0.0
3720, 0.0
3712, 0.0
3704, 0.0
3696, 0.0
3688, 0.0
3680, 0.0
3672, 0.0
3664, 0.0
3656, 0.0
3648, 0.0
3640, 0.0
3632, 0.0
3624, 0.0
3616, 0.0
3608, 0.0
3600, 0.0
3592, 0.0
3584, 0.0
3576, 0.0
3568, 0.0
3560, 0.0
3552, 0.0
3544, 0.0
3536, 0.0
3528, 0.0
3520, 0.0
3512, 0.0
3504, 0.0
3496, 0.0
3488, 0.0
3480, 0.0
3472, 0.0
3464, 0.0
3456, 0.0
3448, 0.0
3440, 0.0
3432, 0.0
3424, 0.0
3416, 0.0
3408, 0.0
3400, 0.0
3392, 0.0
3384, 0.0
3376, 0.0
3368, 0.0
3360, 0.0
3352, 0.0
3344, 0.0
3336, 0.0
3328, 0.0
3320, 0.0
3312, 0.0
3304, 0.0
3296, 0.0
3288, 0.0
3280, 0.0
3272, 0.0
3264, 0.0
3256, 0.0
3248, 0.0
3240, 0.0
3232, 0.0
3224, 0.0
3216, 0.0
3208, 0.0
3200, 0.0
3192, 0.0
3184, 0.0
3176, 0.0
3168, 0.0
3160, 0.0
3152, 0.0
3144, 0.0
3136, 0.0
3128, 0.0
3120, 0.0
3112, 0.0
3104, 0.0
3096, 0.0
3088, 0.0
3080, 0.0
3072, 0.0
3064, 0.0
3056, 0.0015290519877675841
3048, 0.3379204892966361
3040, 1.0
3032, 1.0
3024, 1.0
3016, 1.0
3008, 1.0
3000, 1.0
2992, 1.0
2984, 1.0
2976, 1.0
2968, 1.0
2960, 2.0
2952, 2.0
2944, 2.0
2936, 2.0
2928, 2.0
2920, 2.0
2912, 2.0
2904, 2.0
2896, 3.0
2888, 3.0
2880, 3.0
2872, 3.0
2864, 3.0
2856, 3.0
2848, 3.0
2840, 4.0
2832, 4.0
2824, 4.0
2816, 4.0
2808, 4.0
2800, 4.0
2792, 4.472477064220183
2784, 5.0
2776, 5.0
2768, 5.0
2760, 5.0
2752, 5.0
2744, 5.422018348623853
2736, 5.048929663608563
2728, 5.064220183486238
2720, 5.556574923547401
2712, 5.824159021406728
2704, 6.0
2696, 6.0
2688, 6.0
2680, 6.0
2672, 6.0
2664, 6.36697247706422
2656, 7.0
2648, 7.0
2640, 8.0
2632, 8.0
2624, 7.0
2616, 7.033690658499235
2608, 8.0
2600, 8.0
2592, 8.0
2584, 8.0
2576, 9.0
2568, 8.197247706422019
2560, 9.0
2552, 9.964831804281346
